,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,FraudFound_P
1215,-0.09090909090909083,0.0,-0.33333333333333337,6,1,-0.6666666666666667,-0.09090909090909083,0.0,1,1,-0.4375,0,2,1,1.0,-0.5,0.9999999999999999,0.5,1.0,-0.33333333333333337,1.0,0.0,0,0,0,1.0,0.5,-1.0,2,0
12079,0.4545454545454546,-0.5,1.0,12,1,1.0,0.09090909090909083,0.0,1,1,-0.40625,1,1,0,-0.6,-0.5,-1.0,0.5,1.0,-1.0,0.4285714285714284,0.0,0,0,0,-1.0,0.5,-1.0,1,0
14292,0.4545454545454546,-1.0,1.0,17,1,1.0,0.4545454545454546,-1.0,0,1,0.0,0,2,1,-0.6,-0.5,0.9999999999999999,0.5,1.0,0.33333333333333326,0.7142857142857142,0.5,0,0,0,-1.0,0.5,-1.0,2,0
11332,0.6363636363636365,1.0,0.6666666666666665,12,1,-1.0,-0.6363636363636364,0.0,1,1,0.1875,0,1,0,-1.0,-0.5,0.9999999999999999,0.5,1.0,1.0,0.7142857142857142,0.5,0,0,0,-1.0,0.5,-1.0,1,0
13740,-0.2727272727272727,-0.5,-1.0,2,1,1.0,-0.2727272727272727,0.0,1,1,0.5,0,3,1,-0.6,-0.5,0.9999999999999999,0.5,1.0,1.0,0.7142857142857142,0.75,0,0,0,0.33333333333333326,0.5,-1.0,0,0
9479,-0.6363636363636364,-1.0,0.0,16,1,-0.6666666666666667,-0.6363636363636364,-1.0,1,1,0.34375,0,1,0,0.6000000000000001,-0.5,0.9999999999999999,0.5,1.0,1.0,0.7142857142857142,0.75,0,0,0,-1.0,0.5,-1.0,1,0
7093,-0.2727272727272727,0.5,1.0,6,1,-0.6666666666666667,-0.4545454545454546,0.0,1,1,0.1875,0,2,1,1.0,-0.5,-1.0,0.5,1.0,0.33333333333333326,1.0,0.5,0,0,0,1.0,0.5,0.0,2,0
323,-1.0,-0.5,1.0,6,1,1.0,-1.0,0.5,1,1,0.125,0,0,0,-1.0,-0.5,-0.33333333333333337,0.5,1.0,1.0,0.7142857142857142,0.5,0,0,0,1.0,0.5,-1.0,0,0
1344,-1.0,0.5,0.33333333333333326,6,1,0.33333333333333326,0.4545454545454546,-1.0,1,1,-0.375,1,0,0,-1.0,-0.5,-0.33333333333333337,-1.0,-1.0,1.0,0.4285714285714284,0.25,0,0,0,1.0,0.0,-0.5,0,0
4458,-1.0,-1.0,-0.6666666666666667,14,1,0.6666666666666665,-1.0,-1.0,1,1,-0.125,0,1,0,-0.6,-0.5,0.33333333333333337,0.5,1.0,1.0,0.7142857142857142,0.25,0,0,0,0.33333333333333326,0.5,-1.0,1,0
11233,-1.0,0.0,0.0,9,1,-0.6666666666666667,-1.0,0.0,1,1,0.09375,0,1,0,-1.0,-0.5,-1.0,0.5,1.0,1.0,0.4285714285714284,0.5,0,0,0,1.0,0.5,-1.0,1,0
909,-1.0,0.0,0.33333333333333326,2,1,1.0,0.4545454545454546,-1.0,1,1,-0.21875,0,5,2,1.0,-0.5,-1.0,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.25,0,0,0,-0.33333333333333337,0.5,-1.0,0,0
10426,-0.2727272727272727,-1.0,0.33333333333333326,12,1,-0.6666666666666667,-0.2727272727272727,-0.5,1,2,-0.5,0,2,1,-0.6,-0.5,-1.0,0.5,1.0,0.33333333333333326,0.1428571428571428,0.0,0,0,0,-0.33333333333333337,0.5,-1.0,2,0
6878,0.8181818181818183,-1.0,0.0,5,1,0.33333333333333326,0.8181818181818183,0.0,1,1,-0.125,0,2,1,-0.6,-0.5,-1.0,0.5,1.0,-1.0,0.4285714285714284,0.25,0,0,0,-1.0,0.5,-1.0,2,0
3400,0.09090909090909083,-1.0,-0.6666666666666667,12,1,0.6666666666666665,0.09090909090909083,-1.0,0,1,-0.375,1,1,0,-1.0,-0.5,0.9999999999999999,0.5,1.0,-1.0,0.4285714285714284,0.25,0,0,0,1.0,0.5,-1.0,1,0
496,0.2727272727272727,0.5,0.6666666666666665,9,0,0.6666666666666665,0.2727272727272727,1.0,1,1,-0.0625,0,2,1,-1.0,-0.5,0.9999999999999999,0.5,1.0,0.33333333333333326,0.1428571428571428,0.5,0,0,0,1.0,0.5,-1.0,2,0
13395,-0.09090909090909083,-0.5,-0.33333333333333337,12,1,1.0,-0.8181818181818181,-1.0,1,2,-0.40625,0,0,0,0.6000000000000001,-0.5,0.9999999999999999,0.5,1.0,-1.0,0.1428571428571428,0.0,0,0,0,1.0,0.5,-1.0,0,1
10066,-0.6363636363636364,-1.0,-1.0,12,1,-0.6666666666666667,-0.6363636363636364,-1.0,0,2,-0.5,0,1,0,-1.0,-0.5,0.33333333333333337,0.5,1.0,0.33333333333333326,0.1428571428571428,0.0,0,0,0,0.33333333333333326,0.5,-1.0,1,0
13032,-0.8181818181818181,0.0,0.33333333333333326,6,1,1.0,-0.8181818181818181,1.0,1,1,-0.4375,0,2,1,-1.0,-0.5,0.33333333333333337,0.5,1.0,-0.33333333333333337,0.1428571428571428,0.0,0,0,0,1.0,0.5,-1.0,2,0
9536,-1.0,0.5,0.33333333333333326,12,1,0.33333333333333326,-1.0,0.5,1,2,-0.46875,0,2,1,-1.0,-0.5,-0.33333333333333337,0.5,1.0,0.33333333333333326,0.1428571428571428,0.0,0,0,0,1.0,0.5,-1.0,2,0
13174,-0.8181818181818181,-1.0,0.6666666666666665,6,1,-0.6666666666666667,1.0,-0.5,1,1,0.3125,0,1,0,-1.0,-0.5,0.9999999999999999,0.5,1.0,-1.0,0.7142857142857142,0.75,0,0,0,0.33333333333333326,0.5,-1.0,1,0
3471,-0.4545454545454546,0.0,-0.6666666666666667,16,0,-1.0,-0.4545454545454546,0.0,1,1,1.0,0,0,0,0.6000000000000001,-0.5,0.33333333333333337,0.5,1.0,-1.0,0.4285714285714284,1.0,0,0,0,1.0,0.5,-1.0,0,0
15173,1.0,-1.0,-0.6666666666666667,12,1,-0.6666666666666667,1.0,-1.0,1,1,0.1875,0,2,1,-0.6,-0.5,-0.33333333333333337,0.5,1.0,0.33333333333333326,0.4285714285714284,0.5,0,0,0,0.33333333333333326,0.5,-1.0,2,0
13459,0.8181818181818183,1.0,0.0,12,1,1.0,0.6363636363636365,-1.0,1,1,-0.4375,0,1,0,-1.0,-0.5,-0.33333333333333337,0.5,1.0,0.33333333333333326,0.1428571428571428,0.0,0,0,0,1.0,0.5,-1.0,1,0
