,FraudFound_P,Month,DayOfWeek,Make,DayOfWeekClaimed,MonthClaimed,MaritalStatus,PolicyType,VehicleCategory,VehiclePrice,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,AccidentArea,Sex,Fault,PoliceReportFiled,WitnessPresent,AgentType,WeekOfMonth,WeekOfMonthClaimed,Age,Deductible,DriverRating
1,0,-0.2727272727272727,1.0,-0.33333333333333337,-0.6666666666666667,-0.2727272727272727,0.33333333333333326,0.0,0.0,1.0,0.5,1.0,1.0,0.1428571428571428,0.0,1.0,0.5,-1.0,0.0,1,1,0,1,0,0,0.0,0.5,-0.4375,-0.5,1.0
2,0,0.8181818181818183,-1.0,-0.33333333333333337,0.33333333333333326,0.6363636363636365,-0.33333333333333337,0.0,0.0,1.0,0.5,1.0,-1.0,0.4285714285714284,0.5,1.0,0.5,-1.0,0.0,1,1,0,0,0,0,1.0,-0.5,-0.03125,-0.5,0.3333333333333335
4,0,-0.2727272727272727,-0.6666666666666667,-0.33333333333333337,0.6666666666666665,-0.4545454545454546,0.33333333333333326,0.0,0.0,1.0,0.5,1.0,1.0,-0.1428571428571429,0.0,1.0,0.5,-1.0,0.0,1,0,1,0,0,0,1.0,-0.5,-0.65625,-0.5,-0.9999999999999999
5,0,0.8181818181818183,-1.0,-0.33333333333333337,1.0,0.6363636363636365,0.33333333333333326,0.0,0.0,1.0,0.5,1.0,1.0,-0.1428571428571429,-0.5,-0.33333333333333337,0.5,-1.0,0.0,1,1,1,0,0,0,0.5,-1.0,-0.875,-0.5,0.3333333333333335
6,0,-0.4545454545454546,-0.33333333333333337,-0.33333333333333337,-0.6666666666666667,-0.4545454545454546,-0.33333333333333337,0.0,0.0,1.0,0.5,1.0,-1.0,0.4285714285714284,0.25,-1.0,0.5,-1.0,0.0,1,1,1,0,0,0,-1.0,0.0,-0.375,-0.5,-0.9999999999999999
7,0,0.6363636363636365,-1.0,-0.33333333333333337,0.6666666666666665,0.2727272727272727,0.33333333333333326,0.0,0.0,1.0,0.5,1.0,-1.0,1.0,-1.0,1.0,0.5,-1.0,0.0,1,1,0,0,0,0,-1.0,0.5,-0.984375,-0.5,1.0
8,0,-0.6363636363636364,-0.33333333333333337,-0.33333333333333337,1.0,-0.6363636363636364,0.33333333333333326,0.0,0.0,1.0,0.5,1.0,1.0,0.1428571428571428,0.0,-0.33333333333333337,0.5,-1.0,0.0,1,1,0,0,1,0,0.5,1.0,-0.5625,-0.5,1.0
9,0,-1.0,0.6666666666666665,-0.4444444444444444,1.0,-1.0,-0.33333333333333337,0.5,1.0,1.0,0.5,1.0,-0.33333333333333337,0.7142857142857142,0.25,-0.33333333333333337,0.5,-1.0,-1.0,1,1,0,0,0,0,0.0,0.0,-0.1875,-0.5,-0.9999999999999999
10,0,0.2727272727272727,0.0,0.0,1.0,0.2727272727272727,0.33333333333333326,-1.0,-1.0,1.0,0.5,1.0,1.0,0.7142857142857142,1.0,1.0,0.5,-1.0,-1.0,1,1,0,0,0,0,-0.5,0.0,0.71875,-0.5,0.3333333333333335
11,0,0.2727272727272727,-0.6666666666666667,-0.33333333333333337,-0.6666666666666667,0.2727272727272727,-0.33333333333333337,-0.5,0.0,-1.0,0.5,1.0,-0.33333333333333337,0.7142857142857142,0.5,1.0,0.5,-1.0,1.0,1,1,0,0,0,0,1.0,1.0,0.125,-0.5,-0.9999999999999999
12,0,-0.2727272727272727,-1.0,-0.4444444444444444,-1.0,-0.2727272727272727,-0.33333333333333337,-0.5,0.0,1.0,0.5,1.0,-1.0,0.4285714285714284,0.0,1.0,0.5,-1.0,1.0,1,1,0,0,0,0,0.0,0.0,-0.625,-0.5,-0.9999999999999999
13,0,-0.2727272727272727,-1.0,-0.33333333333333337,1.0,-0.4545454545454546,0.33333333333333326,-0.75,-1.0,1.0,0.5,1.0,1.0,1.0,-1.0,1.0,0.5,-1.0,0.0,0,1,1,0,0,0,1.0,-1.0,-0.984375,-0.5,0.3333333333333335
14,0,-0.2727272727272727,-0.6666666666666667,-0.4444444444444444,0.33333333333333326,-0.4545454545454546,-0.33333333333333337,-0.5,0.0,1.0,0.5,1.0,1.0,0.7142857142857142,0.75,1.0,0.5,-1.0,1.0,1,1,0,0,0,0,1.0,-1.0,0.40625,-0.5,-0.9999999999999999
15,0,-0.8181818181818181,0.6666666666666665,-0.4444444444444444,-0.6666666666666667,-0.8181818181818181,0.33333333333333326,-0.5,0.0,1.0,0.5,1.0,1.0,0.1428571428571428,0.25,1.0,0.5,-1.0,1.0,1,1,0,0,0,0,0.5,1.0,-0.3125,-0.5,-0.9999999999999999
16,0,-1.0,0.33333333333333326,-0.4444444444444444,1.0,0.4545454545454546,-0.33333333333333337,-1.0,-1.0,1.0,0.5,1.0,1.0,0.4285714285714284,0.25,1.0,0.5,-1.0,-1.0,1,1,0,0,0,0,0.5,-1.0,-0.21875,-0.5,1.0
17,0,-0.09090909090909083,0.0,-0.7777777777777778,1.0,-0.8181818181818181,-0.33333333333333337,-0.75,-1.0,-1.0,0.5,1.0,1.0,0.4285714285714284,0.0,-1.0,0.5,-1.0,0.0,1,0,1,0,0,0,1.0,-1.0,-0.625,-0.5,-0.9999999999999999
18,0,0.4545454545454546,0.33333333333333326,0.4444444444444444,-0.6666666666666667,0.4545454545454546,0.33333333333333326,-0.5,0.0,-1.0,0.5,1.0,-1.0,0.4285714285714284,0.0,1.0,0.5,-1.0,1.0,1,1,0,0,0,0,0.5,1.0,-0.5,-0.5,-0.9999999999999999
19,0,-1.0,-0.6666666666666667,-0.33333333333333337,0.6666666666666665,0.4545454545454546,-0.33333333333333337,-0.5,0.0,1.0,0.5,1.0,-0.33333333333333337,0.1428571428571428,0.0,0.33333333333333326,0.5,-1.0,1.0,1,1,1,0,0,0,0.5,-1.0,-0.5625,-0.5,-0.33333333333333326
20,0,-1.0,-1.0,0.0,0.6666666666666665,0.4545454545454546,-0.33333333333333337,-0.5,0.0,-1.0,0.5,1.0,-1.0,0.7142857142857142,0.25,0.33333333333333326,0.5,-1.0,1.0,1,1,0,0,0,0,-0.5,-1.0,-0.25,-0.5,-0.9999999999999999
